"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Adlercreutzia_celatus"	"Treatment"	"Protein"	"TreatmentProtein"	0.546185564181225	0.689841043483878	0.369167168239359	0.987554348092511	0.60204993837285	0.997965272373248	NA	"abundance"	46	20
"Adlercreutzia_equolifaciens"	"Treatment"	"Protein"	"TreatmentProtein"	0.57501020667059	0.915278365720266	0.476896524070957	0.987554348092511	0.726362753470953	0.997965272373248	NA	"abundance"	46	19
"AF33.28_sp003477885"	"Treatment"	"Protein"	"TreatmentProtein"	0.0727280289158402	1.33148507381226	0.921378737817379	0.987554348092511	0.78513943411556	0.997965272373248	NA	"abundance"	46	3
"Agathobacter_rectalis"	"Treatment"	"Protein"	"TreatmentProtein"	-0.834044421638549	1.20579466155319	0.544465973190524	0.987554348092511	0.792488750418744	0.997965272373248	NA	"abundance"	46	30
"Agathobaculum_butyriciproducens"	"Treatment"	"Protein"	"TreatmentProtein"	-0.205597610988539	0.59821805403867	0.853486485893381	0.987554348092511	0.326944868704189	0.997965272373248	NA	"abundance"	46	38
"Agathobaculum_sp003481705"	"Treatment"	"Protein"	"TreatmentProtein"	0.0487614852803254	0.984420844785826	0.888560286485756	0.987554348092511	0.653669639088467	0.997965272373248	NA	"abundance"	46	14
"Akkermansia_muciniphila"	"Treatment"	"Protein"	"TreatmentProtein"	-0.604816956143904	0.815049186356885	0.540730813225609	0.987554348092511	0.789071814079589	0.997965272373248	NA	"abundance"	46	20
"Alistipes_finegoldii"	"Treatment"	"Protein"	"TreatmentProtein"	1.33401577785244	1.21971332333115	0.295452164622064	0.987554348092511	0.503612347664265	0.997965272373248	NA	"abundance"	46	7
"Alistipes_onderdonkii"	"Treatment"	"Protein"	"TreatmentProtein"	1.11153143137121	0.650369509515034	0.0981115351766635	0.987554348092511	0.186597197018605	0.997965272373248	NA	"abundance"	46	12
"Alistipes_putredinis"	"Treatment"	"Protein"	"TreatmentProtein"	0.535615219283089	0.768973011877788	0.424605271997057	0.987554348092511	0.668920906986419	0.997965272373248	NA	"abundance"	46	23
"Alistipes_shahii"	"Treatment"	"Protein"	"TreatmentProtein"	1.58507566347261	0.946753939398874	0.106289699002278	0.987554348092511	0.201281897890561	0.997965272373248	NA	"abundance"	46	13
"Alistipes_sp900240235"	"Treatment"	"Protein"	"TreatmentProtein"	1.90315768535594	1.44597463609475	0.302023381604834	0.987554348092511	0.512828640173649	0.997965272373248	NA	"abundance"	46	4
"Allisonella_histaminiformans"	"Treatment"	"Protein"	"TreatmentProtein"	0.519226373351962	1.14434928193009	0.615700452850332	0.987554348092511	0.85231385806056	0.997965272373248	NA	"abundance"	46	7
"Allisonella_pneumosintes"	"Treatment"	"Protein"	"TreatmentProtein"	1.41057324645646	0.911935283610757	0.176863639155274	0.987554348092511	0.322446531455301	0.997965272373248	NA	"abundance"	46	6
"Anaerosacchariphilus_sp900066385"	"Treatment"	"Protein"	"TreatmentProtein"	0.480708171214738	0.584129196206679	0.433126316084222	0.987554348092511	0.678654226483754	0.997965272373248	NA	"abundance"	46	4
"Anaerosacchariphilus_sp900553635"	"Treatment"	"Protein"	"TreatmentProtein"	0.482515346178158	2.82968479996351	0.857306689412851	0.987554348092511	0.979638619113679	0.997965272373248	NA	"abundance"	46	4
"Anaerostipes_hadrus"	"Treatment"	"Protein"	"TreatmentProtein"	-0.227424311466327	0.908890735743686	0.883799084577249	0.987554348092511	0.851011149027141	0.997965272373248	NA	"abundance"	46	37
"Anaerotignum_faecicola"	"Treatment"	"Protein"	"TreatmentProtein"	0.243129115930597	0.775089782353434	0.668965430595153	0.987554348092511	0.890416113858948	0.997965272373248	NA	"abundance"	46	28
"Anaerotignum_sp001304995"	"Treatment"	"Protein"	"TreatmentProtein"	3.76407016171015	2.55629121615307	0.270484335201343	0.987554348092511	0.467806894813374	0.997965272373248	NA	"abundance"	46	4
"Bacteroides_helcogenes"	"Treatment"	"Protein"	"TreatmentProtein"	0.408786996140711	1.96822801316279	0.808514873720564	0.987554348092511	0.952379248745355	0.997965272373248	NA	"abundance"	46	7
"Bacteroides_oleiciplenus"	"Treatment"	"Protein"	"TreatmentProtein"	1.60039660864959	0.308602219791762	0.123591795243545	0.987554348092511	0.231908658635567	0.997965272373248	NA	"abundance"	46	3
"Bacteroides_sp900553815"	"Treatment"	"Protein"	"TreatmentProtein"	2.90482348620397	2.25735614970944	0.315454533155972	0.987554348092511	0.531397503823291	0.997965272373248	NA	"abundance"	46	4
"Bacteroides_stercorirosoris"	"Treatment"	"Protein"	"TreatmentProtein"	2.16563008602385	1.52128568724872	0.276385064133209	0.987554348092511	0.4763814245905	0.997965272373248	NA	"abundance"	46	4
"Bariatricus_comes"	"Treatment"	"Protein"	"TreatmentProtein"	1.14796506580763	0.57511746376308	0.0412812751601314	0.987554348092511	0.0808584066414163	0.997965272373248	NA	"abundance"	46	40
"Barnesiella_intestinihominis"	"Treatment"	"Protein"	"TreatmentProtein"	0.646659200106704	1.40142807992929	0.616364828240331	0.987554348092511	0.613542944846265	0.997965272373248	NA	"abundance"	46	8
"Bifidobacterium_adolescentis"	"Treatment"	"Protein"	"TreatmentProtein"	0.0946853520545096	0.531777409880579	0.728945744449566	0.987554348092511	0.926529590548	0.997965272373248	NA	"abundance"	46	30
"Bifidobacterium_animalis"	"Treatment"	"Protein"	"TreatmentProtein"	0.28130975457294	0.748751348563477	0.668178949596459	0.987554348092511	0.88989479050909	0.997965272373248	NA	"abundance"	46	4
"Bifidobacterium_bifidum"	"Treatment"	"Protein"	"TreatmentProtein"	-0.504456012667457	0.742237827965499	0.595936007507888	0.987554348092511	0.836732289971334	0.997965272373248	NA	"abundance"	46	11
"Bifidobacterium_dentium"	"Treatment"	"Protein"	"TreatmentProtein"	1.64681338419823	0.875452960695622	0.298786683372889	0.987554348092511	0.508299884584807	0.997965272373248	NA	"abundance"	46	3
